year,group_name,indicator_code,account_ownership,trend_years,is_female,is_male,is_poorest_40,is_richest_60,is_young_adult,is_older_adult,is_primary_education,is_secondary_education
2014,female,FX.OWN.TOTL.FE.ZS,21.0040311985886,3,1,0,0,0,0,0,0,0
2014,male,FX.OWN.TOTL.MA.ZS,22.6220561075517,3,0,1,0,0,0,0,0,0
2014,older_adults,FX.OWN.TOTL.OL.ZS,25.5881412311813,3,0,0,0,0,0,1,0,0
2014,poorest_40,FX.OWN.TOTL.40.ZS,15.0082160318652,3,0,0,1,0,0,0,0,0
2014,primary_education_or_less,FX.OWN.TOTL.PL.ZS,19.3670980387591,3,0,0,0,0,0,0,1,0
2014,richest_60,FX.OWN.TOTL.60.ZS,26.2639187801133,3,0,0,0,1,0,0,0,0
2014,secondary_education_or_more,FX.OWN.TOTL.SO.ZS,37.2036257049364,3,0,0,0,0,0,0,0,1
2014,total,FX.OWN.TOTL.ZS,21.7915817461286,3,0,0,0,0,0,0,0,0
2014,young_adults,FX.OWN.TOTL.YG.ZS,14.2952258524111,3,0,0,0,0,1,0,0,0
2017,female,FX.OWN.TOTL.FE.ZS,29.0754315174008,6,1,0,0,0,0,0,0,0
2017,male,FX.OWN.TOTL.MA.ZS,40.9438765977029,6,0,1,0,0,0,0,0,0
2017,older_adults,FX.OWN.TOTL.OL.ZS,38.3613283403909,6,0,0,0,0,0,1,0,0
2017,poorest_40,FX.OWN.TOTL.40.ZS,22.4122768771748,6,0,0,1,0,0,0,0,0
2017,primary_education_or_less,FX.OWN.TOTL.PL.ZS,29.5722733384542,6,0,0,0,0,0,0,1,0
2017,richest_60,FX.OWN.TOTL.60.ZS,43.0952716638443,6,0,0,0,1,0,0,0,0
2017,secondary_education_or_more,FX.OWN.TOTL.SO.ZS,65.0437919595396,6,0,0,0,0,0,0,0,1
2017,total,FX.OWN.TOTL.ZS,34.827569921105,6,0,0,0,0,0,0,0,0
2017,young_adults,FX.OWN.TOTL.YG.ZS,28.1642872819278,6,0,0,0,0,1,0,0,0
2024,female,FX.OWN.TOTL.FE.ZS,41.6159713320994,13,1,0,0,0,0,0,0,0
2024,male,FX.OWN.TOTL.MA.ZS,56.5265673875994,13,0,1,0,0,0,0,0,0
2024,older_adults,FX.OWN.TOTL.OL.ZS,54.0440736846044,13,0,0,0,0,0,1,0,0
2024,poorest_40,FX.OWN.TOTL.40.ZS,42.5762685391233,13,0,0,1,0,0,0,0,0
2024,primary_education_or_less,FX.OWN.TOTL.PL.ZS,41.729944069262,13,0,0,0,0,0,0,1,0
2024,richest_60,FX.OWN.TOTL.60.ZS,52.9919326224592,13,0,0,0,1,0,0,0,0
2024,secondary_education_or_more,FX.OWN.TOTL.SO.ZS,79.952447680989,13,0,0,0,0,0,0,0,1
2024,total,FX.OWN.TOTL.ZS,48.8302767819942,13,0,0,0,0,0,0,0,0
2024,young_adults,FX.OWN.TOTL.YG.ZS,37.9447401209686,13,0,0,0,0,1,0,0,0
